Date,returns,regime
2022-07-31,-0.013589886059606543,stress
2022-08-01,-0.0009730647082914476,stress
2022-08-02,-0.01452024708261338,stress
2022-08-03,-0.005744061707541017,stress
2022-08-04,-0.009479525568520927,stress
2022-08-05,0.028675899088160428,stress
2022-08-06,-0.014185359813054537,stress
2022-08-07,0.009303252730044901,stress
2022-08-08,0.02697154534457858,stress
2022-08-09,-0.02747099349637511,stress
2022-08-10,0.03325679505388167,stress
2022-08-11,0.00041276206736784357,stress
2022-08-12,0.018415982056898608,stable_range
2022-08-13,0.0008704221288590054,stable_range
2022-08-14,-0.0042973830773317305,stable_range
2022-08-15,-0.00752687118445491,stable_range
2022-08-16,-0.010565706274135412,stable_range
2022-08-17,-0.023181944883864696,stable_range
2022-08-18,-0.005295957030778942,stable_range
2022-08-19,-0.10602664190168617,stress
2022-08-20,0.013724431302661714,stress
2022-08-21,0.017239723512555944,stress
2022-08-22,-0.006298802571622582,stress
2022-08-23,0.0060185938546632,stress
2022-08-24,-0.00620033327852915,stable_range
2022-08-25,0.009577016652955654,stress
2022-08-26,-0.06408571655966329,stable_range
2022-08-27,-0.010832449813926528,stable_range
2022-08-28,-0.0214299343072556,stable_range
2022-08-29,0.034134991629983055,stable_range
2022-08-30,-0.02500132778356697,stable_range
2022-08-31,0.012696624168793951,stable_range
2022-09-01,0.0038518173635346637,stable_range
2022-09-02,-0.007849479691159277,stable_range
2022-09-03,-0.006918477935497839,stable_range
2022-09-04,0.007766470822269511,stable_range
2022-09-05,-0.008761151996171085,stable_range
2022-09-06,-0.0504480646723607,stable_range
2022-09-07,0.02374515374913594,stable_range
2022-09-08,0.00204607030353663,stable_range
2022-09-09,0.10086009766789074,stress
2022-09-10,0.01390523841339878,stress
2022-09-11,0.004083651963045384,stress
2022-09-12,0.027242163871664303,stress
2022-09-13,-0.09728219892342403,stress
2022-09-14,-0.0027439686753737906,stress
2022-09-15,-0.02703458624126178,stress
2022-09-16,0.0036162281734326176,stress
2022-09-17,0.017794492715736767,stress
2022-09-18,-0.03581280604750071,stress
2022-09-19,0.006396912022913548,stress
2022-09-20,-0.03400047754708742,stress
2022-09-21,-0.018344813515223775,stress
2022-09-22,0.045641677549128984,stress
2022-09-23,-0.00598857629671097,stress
2022-09-24,-0.018864440709329067,stress
2022-09-25,-0.007149858037088313,stress
2022-09-26,0.022121968157295297,stress
2022-09-27,-0.005850034170169328,stress
2022-09-28,0.016409099157190264,stress
2022-09-29,0.007504185755091534,stress
2022-09-30,-0.007243323491751529,stress
2022-10-01,-0.006178716506548767,stress
2022-10-02,-0.013973887936277964,stress
2022-10-03,0.0299741763073446,stress
2022-10-04,0.035702295702777984,stress
2022-10-05,-0.00869820607502516,stress
2022-10-06,-0.010234041758595132,stress
2022-10-07,-0.020687828067475794,stress
2022-10-08,-0.0066873874171619555,stress
2022-10-09,0.0015365479891413887,stable_range
2022-10-10,-0.01580535214708789,stable_range
2022-10-11,-0.004716403712704758,stable_range
2022-10-12,0.005549896374470987,stable_range
2022-10-13,0.011700026522297709,stable_range
2022-10-14,-0.010228526229371489,stable_range
